genre_name,genre_id,design,documentation,tools,technical,testing,bugs,prototyping,scope,feature_creep,cutting_features,delays,crunch,communication,team,budget,multiple_projects,planning,security,marketing,monetization
Action,1,31,6,24,35,11,8,6,10,8,13,10,13,18,25,3,2,22,0,14,3
Adventure,2,20,2,14,21,7,4,3,5,3,5,5,2,8,10,0,6,10,0,7,4
RPG,3,8,2,9,13,5,2,3,4,2,5,6,4,5,6,2,1,8,0,3,3
Simulation,4,14,6,6,11,7,3,1,9,8,7,2,6,5,6,4,0,12,0,10,2
Strategy,5,20,4,10,15,14,4,3,1,5,7,4,4,7,17,,5,12,1,11,8
Puzzle,6,11,1,3,7,3,3,1,4,3,4,2,1,2,1,2,1,6,0,4,3
Sports,7,4,0,3,4,1,0,0,1,1,1,0,1,2,3,1,0,2,0,2,0
Platformer,8,10,2,7,14,4,7,1,3,5,6,3,3,5,11,4,2,8,0,7,3
Shooter,9,15,6,12,18,8,2,3,5,3,3,2,4,14,15,4,2,14,1,6,0
Racing,10,5,1,5,8,2,5,1,1,0,1,1,2,2,5,0,0,1,0,3,1
Roguelike,11,4,0,6,2,1,2,1,2,1,2,2,0,2,4,1,0,3,0,4,0
Running,12,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1