platform,genre,mode,group,type
console,action adventure,multi single,production,tools
console,action adventure,multi single,production,bugs
console,action adventure,multi single,management-people,delays
console,action adventure,multi single,management-people,team
console,action adventure,multi single,management-feature,feature-creep
console,action adventure,multi single,management-feature,planning
console,platformer,multi single,production,technical
console,platformer,multi single,management-people,team
console,platformer,multi single,management-feature,multiple-projects
console,platformer,multi single,management-feature,planning
mobile pc,adventure,single,production,design
mobile pc,adventure,single,management-people,delays
mobile pc,adventure,single,management-people,team
mobile pc,adventure,single,management-feature,multiple-projects
mobile pc,adventure,single,business,marketing
mobile pc,adventure,single,business,monetization
console pc,action,single,production,technical
console pc,action,single,production,prototyping
console pc,action,single,management-people,communication
console pc,action,single,management-people,team
console pc,action,single,management-feature,scope
console pc,action,single,management-feature,planning
console pc,action,single,business,marketing
mobile,shooter,single,production,design
mobile,shooter,single,production,testing
mobile,shooter,single,management-people,communication
mobile,shooter,single,management-feature,cutting-features
console,action,single,production,tools
console,action,single,production,technical
console,action,single,management-people,team
console mobile pc,platformer,single,production,design
console mobile pc,platformer,single,production,tools
console mobile pc,platformer,single,production,technical
console mobile pc,platformer,single,production,testing
console mobile pc,platformer,single,management-people,communication
console mobile pc,platformer,single,management-people,team
console mobile pc,platformer,single,management-feature,planning
pc,simulation,single,production,design
pc,simulation,single,production,testing
pc,simulation,single,management-people,team
pc,simulation,single,management-feature,planning
pc,simulation,single,business,marketing
console pc,action,multi single,production,tools
console pc,action,multi single,production,technical
console pc,action,multi single,management-people,crunch-time
console pc,action,multi single,management-people,team
console pc,action,multi single,management-feature,planning
console,action,multi single,production,design
console,action,multi single,production,technical
console,action,multi single,management-people,team
console,action,multi single,management-feature,planning
console,action,multi single,business,marketing
console,shooter,single,production,design
console,shooter,single,production,technical
console,shooter,single,management-feature,budget
console pc,platformer,multi single,production,design
console pc,platformer,multi single,management-people,team
console pc,platformer,multi single,management-feature,feature-creep
console pc,platformer,multi single,management-feature,budget
console pc,platformer,multi single,management-feature,planning
console pc,platformer,multi single,production,design
console pc,platformer,multi single,production,technical
console pc,platformer,multi single,management-people,team
console pc,platformer,multi single,management-feature,planning
mobile,sports,single,production,tools
mobile,sports,single,production,technical
mobile,sports,single,production,testing
mobile,sports,single,management-people,crunch-time
mobile,sports,single,management-people,team
mobile,platformer,multi single,production,design
mobile,platformer,multi single,management-feature,cutting-features
mobile,platformer,multi single,business,marketing
console pc,strategy,multi single,management-people,crunch-time
console pc,strategy,multi single,management-people,team
console pc,strategy,multi single,management-feature,planning
console pc,strategy,multi single,business,marketing
console pc,platformer,multi single,production,design
console pc,platformer,multi single,production,tools
console pc,platformer,multi single,production,testing
console pc,platformer,multi single,production,bugs
console pc,platformer,multi single,management-people,delays
console pc,platformer,multi single,management-people,communication
console pc,platformer,multi single,management-people,team
console pc,platformer,multi single,management-feature,cutting-features
console pc,platformer,multi single,management-feature,budget
console pc,platformer,multi single,management-feature,planning
mobile,puzzle,single,production,design
mobile,puzzle,single,production,testing
mobile,puzzle,single,management-people,communication
mobile,puzzle,single,management-feature,planning
mobile,puzzle,single,business,monetization
console,shooter,multi single,management-people,crunch-time
console,shooter,multi single,management-feature,scope
console,shooter,multi single,management-feature,budget
console,shooter,multi single,management-feature,multiple-projects
console,shooter,multi single,management-feature,planning
pc,adventure roguelike,multi online single,production,tools
pc,adventure roguelike,multi online single,management-people,delays
pc,adventure roguelike,multi online single,management-feature,planning
console,platformer,single,production,design
console,platformer,single,production,technical
console,platformer,single,management-people,delays
console,platformer,single,business,monetization
console,action adventure,single,production,design
console,action adventure,single,production,technical
mobile,action,single,management-people,delays
mobile,action,single,management-people,team
console,action adventure,single,management-feature,planning
console,action adventure,single,business,marketing
console mobile pc,racing,single,production,design
console mobile pc,racing,single,production,technical
console mobile pc,racing,single,management-people,team
console mobile pc,racing,single,business,marketing
console pc,platformer,single,production,technical
console pc,platformer,single,production,testing
console pc,platformer,single,production,bugs
console pc,platformer,single,management-people,crunch-time
console pc,platformer,single,management-people,team
console pc,platformer,single,management-feature,budget
console pc,platformer,single,business,marketing
console pc,platformer puzzle,single,production,design
console pc,platformer puzzle,single,management-people,delays
console pc,platformer puzzle,single,management-feature,scope
console pc,platformer puzzle,single,business,marketing
console pc,action,single,production,design
console pc,action,single,production,technical
console pc,action,single,management-people,crunch-time
console pc,action,single,management-people,team
console pc,action,single,management-feature,cutting-features
console pc,action,single,business,marketing
mobile pc,strategy,multi single,production,design
mobile pc,strategy,multi single,production,technical
mobile pc,strategy,multi single,production,testing
mobile pc,strategy,multi single,management-feature,planning
pc,adventure puzzle,single,production,design
pc,adventure puzzle,single,production,technical
pc,adventure puzzle,single,business,marketing
console pc,action,multi single,production,design
console pc,action,multi single,management-people,delays
console pc,action,multi single,management-people,crunch-time
console pc,action,multi single,management-people,communication
console pc,action,multi single,management-feature,scope
console pc,action,multi single,management-feature,planning
pc,strategy,multi single,production,documentation
pc,strategy,multi single,production,technical
pc,strategy,multi single,production,testing
pc,strategy,multi single,production,bugs
pc,strategy,multi single,management-people,communication
pc,strategy,multi single,management-people,team
console,action rpg,multi single,production,design
console,action rpg,multi single,production,technical
mobile pc,puzzle,single,production,design
mobile pc,puzzle,single,business,marketing
pc,rpg,single,production,design
pc,rpg,single,production,bugs
pc,rpg,single,management-people,delays
pc,rpg,single,management-feature,scope
pc,rpg,single,business,monetization
pc,roguelike,single,production,tools
pc,roguelike,single,production,testing
pc,roguelike,single,production,bugs
pc,roguelike,single,business,marketing
mobile,action,single,production,design
mobile,action,single,production,documentation
mobile,action,single,management-people,crunch-time
mobile,action,single,management-people,communication
mobile,action,single,management-feature,scope
mobile,action,single,management-feature,cutting-features
console mobile pc,rpg,multi single,production,tools
console mobile pc,rpg,multi single,production,technical
console mobile pc,rpg,multi single,production,bugs
console mobile pc,rpg,multi single,management-feature,planning
mobile,strategy,online single,production,design
mobile,strategy,online single,production,bugs
mobile,strategy,online single,management-people,team
mobile,strategy,online single,business,marketing
mobile,strategy,online single,business,monetization
console pc,shooter,multi single,production,design
console pc,shooter,multi single,production,technical
console pc,shooter,multi single,management-people,communication
console pc,shooter,multi single,management-feature,security
console pc,shooter,multi single,business,marketing
console,action,multi single,production,design
console,action,multi single,production,technical
console,action,multi single,production,prototyping
console,action,multi single,management-people,team
console pc,action,multi single,production,design
console pc,action,multi single,production,testing
console pc,action,multi single,production,bugs
console pc,action,multi single,management-people,communication
console pc,action,multi single,management-people,team
console pc,action,multi single,management-feature,multiple-projects
console pc,rpg,single,production,tools
console pc,rpg,single,production,technical
console pc,rpg,single,production,prototyping
console pc,rpg,single,management-people,delays
console pc,rpg,single,management-people,team
console pc,rpg,single,management-feature,cutting-features
console pc,rpg,single,management-feature,planning
console,action adventure,single,production,design
console,action adventure,single,production,tools
console,action adventure,single,production,technical
console,action adventure,single,management-people,team
console,action adventure,single,business,monetization
pc,shooter,online,production,technical
pc,shooter,online,management-people,team
pc,shooter,online,management-feature,scope
pc,shooter,online,management-feature,budget
pc,shooter,online,business,marketing
console,simulation,single,production,design
console,simulation,single,production,technical
console,simulation,single,management-people,communication
console,simulation,single,management-people,team
console,simulation,single,business,marketing
console pc,shooter,single,production,design
console pc,shooter,single,production,technical
console pc,action platformer,single,production,design
console pc,action platformer,single,production,tools
console pc,action platformer,single,production,technical
console pc,action platformer,single,production,bugs
console pc,action platformer,single,management-people,team
console pc,action,single,production,design
console pc,action,single,production,documentation
console pc,action,single,production,tools
console pc,action,single,production,bugs
console pc,action,single,production,prototyping
console pc,action,single,management-people,communication
console pc,action,single,management-people,team
console pc,action,single,business,marketing
pc,rpg,single,production,tools
pc,rpg,single,production,technical
pc,rpg,single,production,prototyping
pc,rpg,single,management-people,crunch-time
pc,rpg,single,management-people,communication
pc,rpg,single,management-people,team
pc,rpg,single,management-feature,feature-creep
pc,rpg,single,management-feature,budget
pc,rpg,single,business,marketing
pc,rpg,single,business,monetization
mobile,platformer,single,management-feature,budget
mobile,platformer,single,business,marketing
mobile,platformer,single,business,monetization
console mobile pc,action adventure puzzle,single,production,design
console mobile pc,action adventure puzzle,single,production,technical
console mobile pc,action adventure puzzle,single,production,prototyping
console mobile pc,action adventure puzzle,single,management-feature,scope
console pc,sports,multi,production,design
console pc,sports,multi,production,technical
console pc,sports,multi,management-people,communication
console pc,sports,multi,management-feature,planning
console pc,sports,multi,business,marketing
console pc,strategy,multi single,production,design
console pc,strategy,multi single,production,technical
console pc,strategy,multi single,production,testing
console pc,strategy,multi single,production,bugs
pc,simulation strategy,online single,production,design
pc,simulation strategy,online single,management-people,crunch-time
pc,simulation strategy,online single,management-feature,budget
pc,simulation strategy,online single,management-feature,planning
pc,simulation strategy,online single,business,marketing
mobile pc,simulation,single,production,design
mobile pc,simulation,single,production,technical
mobile pc,simulation,single,management-feature,scope
mobile pc,simulation,single,management-feature,planning
console pc,action rpg,single,production,technical
console pc,action rpg,single,production,testing
console pc,action rpg,single,management-people,crunch-time
console pc,action rpg,single,management-people,communication
console pc,action rpg,single,management-feature,planning
mobile,adventure,single,production,design
mobile,adventure,single,production,technical
mobile,adventure,single,production,testing
mobile,adventure,single,production,prototyping
console pc,action,single,management-people,team
console pc,action,single,management-feature,feature-creep
console pc,action,single,management-feature,cutting-features
console pc,action,single,management-feature,planning
console mobile pc,platformer puzzle,multi single,production,bugs
console mobile pc,platformer puzzle,multi single,management-feature,cutting-features
console mobile pc,platformer puzzle,multi single,management-feature,planning
mobile,sports,single,production,design
mobile,sports,single,production,technical
mobile,sports,single,management-people,team
mobile,sports,single,management-feature,scope
console pc,action platformer,single,management-people,crunch-time
mobile pc,adventure roguelike,single,management-people,delays
mobile pc,adventure roguelike,single,management-people,team
mobile pc,adventure roguelike,single,management-feature,scope
mobile,action,single,production,tools
mobile,action,single,production,prototyping
mobile,action,single,management-feature,scope
mobile,action,single,management-feature,planning
console mobile pc,running,single,production,tools
console mobile pc,running,single,management-people,delays
console mobile pc,running,single,management-feature,scope
console mobile pc,running,single,business,marketing
console mobile pc,running,single,business,monetization
mobile pc,puzzle,single,production,design
mobile pc,puzzle,single,production,tools
mobile pc,puzzle,single,production,testing
mobile pc,puzzle,single,production,bugs
mobile pc,puzzle,single,management-people,delays
mobile pc,puzzle,single,management-feature,cutting-features
pc,roguelike,single,production,design
pc,roguelike,single,production,tools
pc,roguelike,single,production,technical
pc,roguelike,single,management-feature,scope
pc,roguelike,single,management-feature,cutting-features
mobile,racing,single,production,design
mobile,racing,single,production,technical
mobile,racing,single,production,testing
mobile,racing,single,management-feature,planning
mobile,racing,single,business,marketing
console,racing,single,production,design
console,racing,single,production,tools
console,racing,single,production,prototyping
console,racing,single,management-people,delays
console,racing,single,management-people,crunch-time
console,racing,single,management-people,communication
console,racing,single,management-people,team
mobile,strategy,single,production,design
mobile,strategy,single,management-people,communication
mobile,strategy,single,management-people,team
mobile,strategy,single,business,marketing
mobile,strategy,single,business,monetization
pc,simulation strategy,single,management-people,delays
pc,simulation strategy,single,management-people,team
pc,simulation strategy,single,management-feature,feature-creep
pc,simulation strategy,single,management-feature,multiple-projects
pc,simulation strategy,single,management-feature,planning
pc,simulation strategy,single,business,monetization
pc,strategy,multi single,production,testing
pc,strategy,multi single,production,bugs
pc,strategy,multi single,production,prototyping
pc,strategy,multi single,business,marketing
pc,strategy,multi single,business,monetization
console,platformer shooter,single,production,documentation
console,platformer shooter,single,production,tools
console,platformer shooter,single,management-people,communication
console,platformer shooter,single,management-people,team
console,platformer shooter,single,management-feature,scope
console,platformer shooter,single,management-feature,feature-creep
console,platformer shooter,single,management-feature,planning
mobile,action,single,production,tools
mobile,action,single,production,testing
mobile,action,single,management-feature,planning
mobile,action,single,business,marketing
mobile,action,single,business,monetization
pc,strategy,single,production,design
pc,strategy,single,management-people,team
pc,strategy,single,management-feature,budget
pc,strategy,single,management-feature,planning
pc,strategy,single,business,monetization
console mobile pc,action adventure,single,production,tools
console mobile pc,action adventure,single,production,technical
console mobile pc,action adventure,single,production,testing
console mobile pc,action adventure,single,production,bugs
console mobile pc,action adventure,single,management-people,crunch-time
console mobile pc,action adventure,single,management-people,team
console mobile pc,action adventure,single,management-feature,feature-creep
console mobile pc,action adventure,single,management-feature,cutting-features
pc,strategy,multi single,production,design
pc,strategy,multi single,production,prototyping
pc,strategy,multi single,management-people,team
pc,strategy,multi single,management-feature,scope
pc,strategy,multi single,management-feature,cutting-features
pc,strategy,multi single,management-feature,planning
console mobile pc,rpg,single,production,tools
console mobile pc,rpg,single,production,technical
console mobile pc,rpg,single,management-people,delays
console mobile pc,rpg,single,management-people,crunch-time
console mobile pc,rpg,single,management-people,communication
console mobile pc,rpg,single,management-people,team
console mobile pc,rpg,single,management-feature,cutting-features
console mobile pc,rpg,single,management-feature,planning
console pc,shooter,online,production,testing
console pc,shooter,online,production,bugs
console pc,shooter,online,management-people,team
console pc,shooter,online,management-feature,planning
mobile,puzzle,single,production,design
mobile,puzzle,single,production,technical
mobile,puzzle,single,management-people,team
mobile,puzzle,single,management-feature,cutting-features
mobile,puzzle,single,business,monetization
console pc,platformer,single,production,technical
console pc,platformer,single,production,bugs
console pc,platformer,single,management-people,communication
console pc,platformer,single,business,marketing
mobile pc,strategy,multi single,production,design
mobile pc,strategy,multi single,production,tools
mobile pc,strategy,multi single,production,technical
mobile pc,strategy,multi single,management-people,delays
mobile pc,strategy,multi single,management-people,team
mobile pc,strategy,multi single,management-feature,multiple-projects
mobile pc,strategy,multi single,management-feature,planning
pc,shooter,single,production,technical
pc,shooter,single,business,marketing
console pc,shooter,online,production,design
console pc,shooter,online,production,technical
console pc,shooter,online,management-people,communication
console pc,shooter,online,management-feature,planning
console pc,shooter,online,business,marketing
mobile,adventure,single,production,design
mobile,adventure,single,production,technical
mobile,adventure,single,management-people,team
mobile,adventure,single,management-feature,multiple-projects
mobile,adventure,single,business,monetization
pc,adventure simulation,single,production,design
pc,adventure simulation,single,management-feature,scope
pc,adventure simulation,single,management-feature,planning
pc,adventure simulation,single,business,marketing
mobile pc,platformer,single,management-people,communication
mobile pc,platformer,single,business,marketing
console pc,action,single,production,design
console pc,action,single,production,tools
console pc,action,single,production,technical
console pc,action,single,production,bugs
console pc,action,single,management-people,crunch-time
console pc,action,single,management-people,team
console pc,action,single,management-feature,cutting-features
console pc,action,single,management-feature,budget
console pc,action,single,business,marketing
console pc,strategy,single,production,design
console pc,strategy,single,production,technical
console pc,strategy,single,management-people,team
console pc,strategy,single,management-feature,budget
console pc,strategy,single,management-feature,planning
console pc,strategy,single,business,marketing
console pc,strategy,single,business,monetization
mobile,platformer,single,production,technical
mobile,platformer,single,business,marketing
console pc,adventure,single,production,design
console pc,adventure,single,production,technical
console pc,adventure,single,management-feature,cutting-features
console pc,adventure,single,business,marketing
console pc,action,multi single,production,bugs
console pc,action,multi,production,design
console pc,action,multi,production,testing
console pc,action,multi,management-people,communication
console pc,action,multi,management-feature,scope
console pc,action,multi,business,marketing
console pc,action,multi,business,monetization
pc,roguelike,single,production,tools
pc,roguelike,single,management-people,team
pc,roguelike,single,business,marketing
pc,racing,multi single,production,tools
pc,racing,multi single,production,technical
pc,racing,multi single,production,testing
pc,racing,multi single,production,bugs
pc,racing,multi single,business,marketing
pc,racing,multi single,business,monetization
mobile pc,roguelike,single,production,design
mobile pc,roguelike,single,production,bugs
mobile pc,roguelike,single,management-people,team
mobile pc,roguelike,single,management-feature,cutting-features
mobile pc,roguelike,single,business,marketing
pc,adventure,single,production,design
pc,adventure,single,production,technical
pc,adventure,single,management-feature,scope
pc,adventure,single,management-feature,cutting-features
pc,adventure,single,management-feature,multiple-projects
pc,adventure,single,business,marketing
pc,rpg,single,production,technical
pc,rpg,single,management-feature,feature-creep
pc,rpg,single,management-feature,planning
pc,rpg,single,business,marketing
pc,rpg,single,business,monetization
pc,roguelike,multi single,production,design
pc,roguelike,multi single,production,tools
pc,roguelike,multi single,management-people,communication
pc,roguelike,multi single,management-people,team
pc,roguelike,multi single,business,marketing
